,Response Time seconds,Battalion,Year_Month,,,
3153,330,B02,2019-08,,,
3156,246,B02,2019-08,,,
3164,636,B02,2019-08,,,
3166,352,B02,2019-08,,,
3179,589,B02,2019-08,,,
3180,598,B02,2019-08,,,
3184,289,B02,2019-08,,,
3185,567,B02,2019-08,,,
3189,442,B02,2019-08,,,
3197,183,B02,2019-08,,,
3199,1488,B02,2019-08,,,
3203,710,B02,2019-08,,,
3205,482,B02,2019-08,,,
3215,293,B02,2019-08,,,
3218,331,B02,2019-08,,,
3222,435,B02,2019-08,,,
3227,202,B02,2019-08,,,
3233,625,B02,2019-08,,,
3234,428,B02,2019-08,,,
3248,219,B02,2019-08,,,
3267,349,B02,2019-08,,,
3270,380,B02,2019-08,,,
3281,336,B02,2019-08,,,
3282,380,B02,2019-08,,,
3286,582,B02,2019-08,,,
3291,428,B02,2019-08,,,
3292,1115,B02,2019-08,,,
3295,1302,B02,2019-08,,,
3300,231,B02,2019-08,,,
3310,345,B02,2019-08,,,
3314,1393,B02,2019-08,,,
3315,306,B02,2019-08,,,
3326,435,B02,2019-08,,,
3334,710,B02,2019-08,,,
3335,439,B02,2019-08,,,
3338,784,B02,2019-08,,,
3345,550,B02,2019-08,,,
3351,377,B02,2019-08,,,
3355,305,B02,2019-08,,,
3365,420,B02,2019-08,,,
3367,1046,B02,2019-08,,,
3370,259,B02,2019-08,,,
3398,1023,B02,2019-08,,,
3412,579,B02,2019-08,,,
3413,291,B02,2019-08,,,
3426,1242,B02,2019-08,,,
3427,739,B02,2019-08,,,
3434,366,B02,2019-08,,,
3444,498,B02,2019-08,,,
3451,1096,B02,2019-08,,,
3453,366,B02,2019-08,,,
3454,88,B02,2019-08,,,
3464,202,B02,2019-08,,,
3470,1444,B02,2019-08,,,
3472,604,B02,2019-08,,,
3473,1646,B02,2019-08,,,
3482,284,B02,2019-08,,,
3491,436,B02,2019-08,,,
3492,1385,B02,2019-08,,,
3496,226,B02,2019-08,,,
3498,313,B02,2019-08,,,
3504,729,B02,2019-08,,,
3505,394,B02,2019-08,,,
3522,3219,B02,2019-08,,,
3529,427,B02,2019-08,,,
3540,339,B02,2019-08,,,
3543,288,B02,2019-08,,,
3545,418,B02,2019-08,,,
3546,640,B02,2019-08,,,
3547,504,B02,2019-08,,,
3553,962,B02,2019-08,,,
3556,594,B02,2019-08,,,
3560,418,B02,2019-08,,,
3564,809,B02,2019-08,,,
3565,406,B02,2019-08,,,
3579,649,B02,2019-08,,,
3589,221,B02,2019-08,,,
3597,518,B02,2019-08,,,
3598,399,B02,2019-08,,,
3603,0,B02,2019-08,,,
3609,179,B02,2019-08,,,
3617,1162,B02,2019-08,,,
3618,204,B02,2019-08,,,
3626,0,B02,2019-08,,,
3639,1084,B02,2019-08,,,
3651,213,B02,2019-08,,,
3655,404,B02,2019-08,,,
3662,284,B02,2019-08,,,
3667,311,B02,2019-08,,,
3670,0,B02,2019-08,,,
3671,236,B02,2019-08,,,
3673,450,B02,2019-08,,,
3675,427,B02,2019-08,,,
3678,1211,B02,2019-08,,,
3680,334,B02,2019-08,,,
3692,291,B02,2019-08,,,
3694,506,B02,2019-08,,,
3698,683,B02,2019-08,,,
3704,1929,B02,2019-08,,,
3707,242,B02,2019-08,,,
3712,283,B02,2019-08,,,
3713,438,B02,2019-08,,,
3714,350,B02,2019-08,,,
3715,413,B02,2019-08,,,
3723,393,B02,2019-08,,,
3731,352,B02,2019-08,,,
3732,503,B02,2019-08,,,
3733,509,B02,2019-08,,,
3736,506,B02,2019-08,,,
3743,613,B02,2019-08,,,
3744,465,B02,2019-08,,,
3745,363,B02,2019-08,,,
3750,447,B02,2019-08,,,
3755,291,B02,2019-08,,,
3764,487,B02,2019-08,,,
3770,673,B02,2019-08,,,
3777,224,B02,2019-08,,,
3791,371,B02,2019-08,,,
3793,602,B02,2019-08,,,
3804,378,B02,2019-08,,,
3807,150,B02,2019-08,,,
3810,211,B02,2019-08,,,
3816,241,B02,2019-08,,,
3830,1355,B02,2019-08,,,
3834,376,B02,2019-08,,,
3837,562,B02,2019-08,,,
3838,426,B02,2019-08,,,
3840,280,B02,2019-08,,,
3842,448,B02,2019-08,,,
3845,415,B02,2019-08,,,
3847,321,B02,2019-08,,,
3859,125,B02,2019-08,,,
3861,276,B02,2019-08,,,
3862,502,B02,2019-08,,,
3865,100,B02,2019-08,,,
3866,770,B02,2019-08,,,
3878,1304,B02,2019-08,,,
3882,504,B02,2019-08,,,
3884,478,B02,2019-08,,,
3886,408,B02,2019-08,,,
3890,184,B02,2019-08,,,
3892,1558,B02,2019-08,,,
3895,199,B02,2019-08,,,
3899,1923,B02,2019-08,,,
3901,384,B02,2019-08,,,
3903,314,B02,2019-08,,,
3907,173,B02,2019-08,,,
3908,0,B02,2019-08,,,
3910,384,B02,2019-08,,,
3913,384,B02,2019-08,,,
3914,217,B02,2019-08,,,
3916,481,B02,2019-08,,,
3932,433,B02,2019-08,,,
3934,192,B02,2019-08,,,
3935,486,B02,2019-08,,,
3938,275,B02,2019-08,,,
3947,734,B02,2019-08,,,
3950,598,B02,2019-08,,,
3965,532,B02,2019-08,,,
3970,271,B02,2019-08,,,
3974,406,B02,2019-08,,,
3976,883,B02,2019-08,,,
3984,398,B02,2019-08,,,
3985,311,B02,2019-08,,,
3986,385,B02,2019-08,,,
3989,303,B02,2019-08,,,
3990,912,B02,2019-08,,,
3994,549,B02,2019-08,,,
3996,332,B02,2019-08,,,
3997,395,B02,2019-08,,,
4022,410,B02,2019-08,,,
4023,379,B02,2019-08,,,
4024,321,B02,2019-08,,,
4029,519,B02,2019-08,,,
4040,264,B02,2019-08,,,
4042,634,B02,2019-08,,,
4043,393,B02,2019-08,,,
4052,993,B02,2019-08,,,
4060,713,B02,2019-08,,,
4061,1456,B02,2019-08,,,
4065,655,B02,2019-08,,,
4073,402,B02,2019-08,,,
4081,434,B02,2019-08,,,
4082,304,B02,2019-08,,,
4084,318,B02,2019-08,,,
4087,316,B02,2019-08,,,
4092,281,B02,2019-08,,,
4100,438,B02,2019-08,,,
4104,440,B02,2019-08,,,
4109,1290,B02,2019-08,,,
4121,462,B02,2019-08,,,
4129,938,B02,2019-08,,,
4137,265,B02,2019-08,,,
